,countries,Year,CO2 Total Mt,CO2 Kg/1k$,CO2 Tons per capita,Generation GWh,consumption GWh,consumption per capita kW,installed capacity MW,Renewable installed capacity MW,Renewable generation GWh,Renewable percentage %,Population
143,spain,2000,314.317,0.22,7.68,"208,742","193,917","4,768.6","53,889","15,184","36,119",17.30%,"46,667,175"
144,spain,1999,297.984,0.22,7.35,"194,466","180,703","4,465.1","49,696","11,802","27,857",14.32%,"46,562,483"
145,spain,1998,275.902,0.22,6.85,"183,533","168,488","4,180.5","49,003","11,537","37,198",20.27%,"46,486,621"
146,spain,1997,267.249,0.22,6.66,"179,752","162,581","4,050.0","47,773","11,596","37,273",20.74%,"46,367,550"
147,spain,1996,247.377,0.21,6.18,"165,187","150,650","3,769.0","46,609","11,793","41,296",25.00%,"46,239,271"
148,spain,1995,256.034,0.22,6.42,"156,873","145,402","3,652.6","45,629","11,689","24,490",15.61%,"45,983,169"
149,spain,1994,243.679,0.22,6.13,"152,877","139,597","3,521.6","44,445","11,545","28,900",18.90%,"45,668,938"
150,spain,1993,233.503,0.21,5.89,"147,425","133,844","3,392.0","43,855","11,484","24,964",16.93%,"45,236,004"
151,spain,1992,248.442,0.22,6.29,"148,172","133,969","3,412.0","43,747","11,484","19,553",13.20%,"44,784,659"
152,spain,1991,239.668,0.22,6.08,"147,118","131,902","3,377.7","43,616","11,429","27,704",18.83%,"44,360,521"
153,spain,1990,232.067,0.22,5.90,"143,675","129,219","3,323.4","43,397","11,320","25,852",17.99%,"44,009,969"
154,spain,1989,227.499,,5.80,"140,075","125,859","3,239.3","43,554","11,597","19,679",14.05%,"43,662,613"
155,spain,1988,208.693,,5.33,"129,867","115,046","2,964.9","42,838","10,984","35,399",27.26%,"43,296,335"
156,spain,1987,204.466,,5.24,"127,987","114,291","2,950.9","42,172","10,556","27,551",21.53%,"42,859,172"
157,spain,1986,203.412,,5.22,"127,486","114,255","2,957.1","40,224","11,153","26,616",20.88%,"42,547,454"
158,spain,1985,199.884,,5.15,"124,778","111,865","2,903.2","39,675","10,959","31,475",25.22%,"42,196,231"
159,spain,1984,206.745,,5.34,"117,409","108,653","2,828.9","37,232","10,935","31,611",26.92%,"41,827,836"
160,spain,1983,217.846,,5.66,"114,778","104,163","2,723.0","34,169","10,917","27,228",23.72%,"41,423,520"
161,spain,1982,214.361,,5.60,"113,188","99,595","2,614.7","32,201","10,945","26,453",23.37%,"41,035,271"
162,spain,1981,221.188,,5.81,"109,573","99,205","2,618.8","31,562","10,869","22,043",20.12%,"40,766,049"
163,spain,1980,215.762,,5.71,"108,579","97,231","2,583.5","29,923","13,473","29,504",27.17%,"40,665,545"
164,portugal,2020,40.433,0.12,3.96,"52,222","48,409","4,700.7",,"11,384","32,160",61.58%,"10,298,252"
165,portugal,2019,47.829,0.13,4.66,"50,480","48,931","4,752.4","22,210","11,366","27,514",54.50%,"10,295,909"
166,portugal,2018,53.106,0.15,5.16,"56,252","48,535","4,722.8","21,782","11,044","29,585",52.59%,"10,276,617"
167,portugal,2017,56.364,0.17,5.46,"55,013","47,228","4,589.2","20,934","10,821","22,751",41.36%,"10,291,027"
168,portugal,2016,51.176,0.16,4.93,"57,103","47,117","4,570.3","20,612","10,751","32,516",56.94%,"10,309,573"
169,portugal,2015,52.240,0.16,5.01,"49,310","46,682","4,514.1","19,625","10,474","24,626",49.94%,"10,341,330"
170,portugal,2014,48.859,0.15,4.67,"50,407","46,101","4,443.6","19,126","10,280","31,711",62.91%,"10,374,822"
171,portugal,2013,48.671,0.15,4.62,"48,885","46,206","4,431.3","18,900","9,898","29,688",60.73%,"10,427,301"
172,portugal,2012,50.156,0.16,4.74,"43,688","46,876","4,469.8","19,747","9,710","19,591",44.84%,"10,487,289"
173,portugal,2011,51.820,0.16,4.88,"49,958","48,681","4,617.7","19,924","9,556","24,319",48.68%,"10,542,398"
174,portugal,2010,53.507,0.16,5.02,"51,881","50,223","4,750.2","18,932","8,608","28,486",54.91%,"10,572,721"
175,portugal,2009,58.707,0.18,5.51,"47,341","48,325","4,570.4","17,403","7,950","18,506",39.09%,"10,573,479"
176,portugal,2008,59.493,0.17,5.59,"43,429","48,676","4,608.2","15,766","7,336","14,860",34.22%,"10,563,014"
177,portugal,2007,61.639,0.18,5.80,"44,788","49,096","4,652.2","15,003","6,645","16,403",36.62%,"10,553,339"
178,portugal,2006,63.148,0.19,5.96,"46,275","48,030","4,560.1","14,447","6,080","15,918",34.40%,"10,532,588"
179,portugal,2005,68.146,0.21,6.45,"43,703","46,315","4,405.9","13,374","5,410","8,518",19.49%,"10,511,988"
180,portugal,2004,64.846,0.20,6.16,"42,663","45,087","4,296.2","12,692","4,847","12,483",29.26%,"10,494,672"
181,portugal,2003,63.084,0.20,6.02,"44,498","43,411","4,145.0","11,616","4,549","17,824",40.06%,"10,473,050"
182,portugal,2002,67.993,0.21,6.51,"43,220","41,617","3,984.5","11,236","4,476","9,916",22.94%,"10,444,592"
183,portugal,2001,63.823,0.20,6.14,"44,074","40,256","3,872.7","10,991","4,362","15,856",35.98%,"10,394,669"
184,portugal,2000,64.531,0.21,6.23,"41,278","38,560","3,732.6","10,908","4,300","13,012",31.52%,"10,330,774"
185,portugal,1999,64.947,0.22,6.30,"40,670","36,159","3,528.0","10,405","3,930","8,655",21.28%,"10,249,022"
186,portugal,1998,58.273,0.20,5.67,"37,267","34,302","3,367.4","9,572","3,940","14,023",37.63%,"10,186,634"
187,portugal,1997,53.672,0.19,5.25,"32,783","32,489","3,206.0","9,274","3,877","14,101",43.01%,"10,133,758"
188,portugal,1996,51.292,0.19,5.03,"33,118","30,754","3,049.7","9,220","3,867","15,644",47.24%,"10,084,196"
189,portugal,1995,53.257,0.21,5.25,"31,597","29,226","2,909.9","9,152","3,848","9,307",29.46%,"10,043,693"
190,portugal,1994,49.745,0.20,4.92,"30,030","27,389","2,736.5","8,618","3,697","11,536",38.41%,"10,008,659"
191,portugal,1993,48.173,0.20,4.79,"29,544","26,271","2,633.9","8,513","3,613","9,370",31.72%,"9,974,391"
192,portugal,1992,49.255,0.20,4.92,"27,983","25,920","2,603.7","8,013","3,146","5,491",19.62%,"9,954,958"
193,portugal,1991,45.460,0.19,4.56,"28,398","25,189","2,531.6","7,284","2,772","9,767",34.39%,"9,950,029"
194,portugal,1990,43.612,0.19,4.38,"27,090","23,965","2,403.6","7,234","2,783","9,760",36.03%,"9,970,441"
195,portugal,1989,42.349,,4.26,"24,869","23,065","2,307.4","7,337","2,799","6,349",25.53%,"9,995,995"
196,portugal,1988,34.106,,3.43,"20,894","20,466","2,043.7","6,910","2,722","12,657",60.58%,"10,014,005"
197,portugal,1987,32.967,,3.31,"19,854","20,358","2,030.7","6,846","2,820","9,588",48.29%,"10,025,215"
198,portugal,1986,32.014,,3.21,"19,886","19,341","1,927.4","6,453","2,818","8,940",44.96%,"10,034,846"
199,portugal,1985,28.483,,2.85,"18,560","18,436","1,838.0","6,008","2,721","11,033",59.45%,"10,030,621"
200,portugal,1984,29.757,,2.98,"18,830","17,319","1,729.0","5,654","3,016","9,964",52.92%,"10,016,605"
201,portugal,1983,30.891,,3.10,"17,721","16,887","1,692.8","5,633","2,944","8,282",46.74%,"9,975,859"
202,portugal,1982,30.302,,3.05,"15,089","15,973","1,607.0","5,307","2,854","7,155",47.42%,"9,939,871"
203,portugal,1981,29.871,,3.02,"13,518","15,058","1,523.5","4,624","2,615","5,229",38.68%,"9,883,670"
204,portugal,1980,28.323,,2.89,"14,948","14,906","1,518.1","4,437","2,516","8,177",54.70%,"9,819,054"
205,poland,2020,292.562,0.24,7.71,"146,215","149,487","3,950.5",,"11,851","29,775",20.36%,"37,840,001"
206,poland,2019,312.917,0.25,8.23,"151,330","153,002","4,030.8","41,305","8,980","26,187",17.30%,"37,958,138"
207,poland,2018,330.801,0.28,8.68,"160,445","157,246","4,141.0","40,945","7,926","22,094",13.77%,"37,972,812"
208,poland,2017,330.422,0.29,8.66,"160,939","153,230","4,034.9","41,335","7,607","24,435",15.18%,"37,976,687"
209,poland,2016,317.068,0.29,8.29,"157,227","149,731","3,943.1","38,083","7,507","23,007",14.63%,"37,972,964"
210,poland,2015,306.053,0.29,8.00,"155,431","144,563","3,807.6","37,320","6,545","22,749",14.64%,"37,967,209"
211,poland,2014,303.047,0.30,7.91,"149,777","141,693","3,728.2","35,989","5,263","19,883",13.28%,"38,005,614"
212,poland,2013,315.200,0.32,8.23,"154,820","140,052","3,683.9","35,815","4,741","17,091",11.04%,"38,017,856"
213,poland,2012,319.505,0.33,8.34,"152,719","138,995","3,651.8","35,283","3,719","16,900",11.07%,"38,062,535"
214,poland,2011,327.015,0.34,8.53,"153,798","137,918","3,623.4","34,554","2,644","13,159",8.56%,"38,063,792"
215,poland,2010,329.366,0.36,8.59,"147,970","134,765","3,540.6","33,365","1,809","10,921",7.38%,"38,062,718"
216,poland,2009,311.422,0.35,8.13,"142,222","127,498","3,353.2","33,035","1,381","8,663",6.09%,"38,022,869"
217,poland,2008,324.845,0.38,8.48,"145,466","132,208","3,466.8","32,679","1,176","6,593",4.53%,"38,135,876"
218,poland,2007,330.476,0.40,8.62,"149,425","129,661","3,401.8","32,529",960,"5,813",3.89%,"38,115,641"
219,poland,2006,331.114,0.43,8.64,"151,201","126,194","3,310.0","32,398",819,"4,759",3.15%,"38,125,479"
220,poland,2005,317.792,0.44,8.28,"145,879","120,130","3,148.3","32,295",759,"4,311",2.96%,"38,157,055"
221,poland,2004,318.393,0.46,8.29,"143,137","119,413","3,128.2","31,918",656,"3,599",2.51%,"38,173,835"
222,poland,2003,315.986,0.48,8.22,"140,482","115,861","3,033.8","31,642",603,"2,519",1.79%,"38,190,608"
223,poland,2002,303.459,0.47,7.89,"133,498","112,030","2,931.3","30,815",570,"3,208",2.40%,"38,218,531"
224,poland,2001,310.152,0.49,8.05,"134,555","113,629","2,971.3","30,673",552,"3,082",2.29%,"38,242,197"
225,poland,2000,313.283,0.50,8.13,"133,943","113,336","2,962.7","30,559",525,"2,642",1.97%,"38,253,955"
226,poland,1999,325.485,0.55,8.44,"130,904","111,397","2,911.3","30,412",505,"2,643",2.02%,"38,263,303"
227,poland,1998,334.879,0.59,8.69,"132,249","113,445","2,933.9","29,859",501,"2,887",2.18%,"38,666,983"
228,poland,1997,362.860,0.67,9.42,"132,447","113,580","2,937.9","29,745",495,"2,546",1.92%,"38,659,979"
229,poland,1996,371.359,0.73,9.64,"132,457","111,299","2,880.5","29,513",492,"2,316",1.75%,"38,639,341"
230,poland,1995,356.869,0.74,9.28,"128,481","107,654","2,788.3","29,265",482,"2,233",1.74%,"38,609,399"
231,poland,1994,354.200,0.79,9.23,"124,925","105,022","2,722.2","29,444",489,"2,073",1.66%,"38,580,597"
